,Num.Obs.,Num.Trade,Tot.Ret,Std.Ret,Sharpe.Ratio,Tot.PnL,Win.Ratio
2023-01-23 14:30:00+00:00,78,7,0.023765297,0.007155729,0.474450954,3.408721924,0.714285714
2023-01-24 14:30:00+00:00,78,4,-0.005854048,0.001744358,-0.838997565,-0.839981079,0.25
2023-01-25 14:30:00+00:00,78,7,0.00296344,0.00416594,0.101621401,0.396316528,0.428571429
2023-01-26 14:30:00+00:00,78,7,0.018955006,0.005591303,0.484298205,3.011505127,0.571428571
2023-01-27 14:30:00+00:00,78,7,0.033063072,0.013819171,0.341793005,5.637710571,0.428571429
2023-01-28 14:30:00+00:00,78,7,0.033063072,0.013819171,0.341793005,5.637710571,0.428571429
2023-01-29 14:30:00+00:00,78,7,0.033063072,0.013819171,0.341793005,5.637710571,0.428571429
2023-01-30 14:30:00+00:00,78,8,-0.020521124,0.006041672,-0.424574574,-3.468521118,0.125
2023-01-31 14:30:00+00:00,78,4,-0.001990995,0.001644764,-0.30262629,-0.342788696,0.25
2023-02-01 14:30:00+00:00,78,5,0.014278896,0.012706428,0.224750758,2.601089478,0.6
2023-02-02 14:30:00+00:00,78,4,-0.001942041,0.003530917,-0.13750255,-0.402679443,0.5
2023-02-03 14:30:00+00:00,78,6,-0.024590089,0.00408071,-1.004322226,-4.743911743,0.166666667
2023-02-04 14:30:00+00:00,78,6,-0.024590089,0.00408071,-1.004322226,-4.743911743,0.166666667
2023-02-05 14:30:00+00:00,78,6,-0.024590089,0.00408071,-1.004322226,-4.743911743,0.166666667
2023-02-06 14:30:00+00:00,78,6,0.003354478,0.002390354,0.233889881,0.653900146,0.666666667
2023-02-07 14:30:00+00:00,78,4,0.035604941,0.003415386,2.60621625,6.912094116,1
2023-02-08 14:30:00+00:00,78,5,-0.001457456,0.004891204,-0.059594992,-0.299697876,0.6
2023-02-09 14:30:00+00:00,78,7,-0.014731494,0.006097034,-0.345167691,-3.106491089,0.571428571
