,Num.Obs.,Num.Trade,Tot.Ret,Std.Ret,Sharpe.Ratio,Tot.PnL,Win.Ratio
2023-01-23 14:30:00+00:00,78,2,0.007289352,0.00717312,0.508101874,1.385101318,0.5
2023-01-24 14:30:00+00:00,78,2,-0.002042925,0.00711316,-0.143601812,-0.386810303,0.5
2023-01-25 14:30:00+00:00,78,3,0.010658471,0.000723241,4.912368002,2.037811279,1
2023-01-26 14:30:00+00:00,78,3,0.006952537,0.003110103,0.745156066,1.367584229,0.666666667
2023-01-27 14:30:00+00:00,78,3,-0.00382627,0.005793634,-0.220142157,-0.795013428,0.666666667
2023-01-28 14:30:00+00:00,78,3,-0.00382627,0.005793634,-0.220142157,-0.795013428,0.666666667
2023-01-29 14:30:00+00:00,78,3,-0.00382627,0.005793634,-0.220142157,-0.795013428,0.666666667
2023-01-30 14:30:00+00:00,78,3,-0.005613392,0.002616791,-0.715047935,-1.078598022,0.333333333
2023-01-31 14:30:00+00:00,78,4,0.003998079,0.001239102,0.806648767,0.778106689,0.75
2023-02-01 14:30:00+00:00,78,4,0.022132838,0.004756056,1.163403005,4.50100708,0.75
2023-02-02 14:30:00+00:00,78,4,-0.004551796,0.005895924,-0.193006025,-0.984069824,0.5
2023-02-03 14:30:00+00:00,78,6,-0.012389632,0.008373953,-0.246590668,-2.676498413,0.333333333
2023-02-04 14:30:00+00:00,78,6,-0.012389632,0.008373953,-0.246590668,-2.676498413,0.333333333
2023-02-05 14:30:00+00:00,78,6,-0.012389632,0.008373953,-0.246590668,-2.676498413,0.333333333
2023-02-06 14:30:00+00:00,78,3,0.000502182,0.008044642,0.020808137,0.100280762,0.333333333
2023-02-07 14:30:00+00:00,78,3,0.021312617,0.006913007,1.027657821,4.667190552,0.666666667
2023-02-08 14:30:00+00:00,78,1,-0.010874497,0,NA,-2.423599243,0
2023-02-09 14:30:00+00:00,78,3,-0.022413645,0.006445793,-1.159083934,-5.085784912,0
2023-02-10 14:30:00+00:00,78,2,-0.011248811,0.003107021,-1.810224795,-2.366210937,0
2023-02-11 14:30:00+00:00,78,2,-0.011248811,0.003107021,-1.810224795,-2.366210937,0
2023-02-12 14:30:00+00:00,78,2,-0.011248811,0.003107021,-1.810224795,-2.366210937,0
2023-02-13 14:30:00+00:00,78,3,-0.000647892,0.003262168,-0.066202622,-0.142807007,0.666666667
2023-02-14 14:30:00+00:00,78,3,0.019191892,0.001699876,3.763390046,4.352096558,1
2023-02-15 14:30:00+00:00,78,4,0.011367671,0.000856812,3.316850359,2.56968689,1
2023-02-16 14:30:00+00:00,78,4,-0.010575372,0.011030298,-0.23968916,-2.331390381,0.75
2023-02-17 14:30:00+00:00,78,2,0.002146952,0.001914681,0.560655162,0.448608398,0.5
2023-02-18 14:30:00+00:00,78,2,0.002146952,0.001914681,0.560655162,0.448608398,0.5
2023-02-19 14:30:00+00:00,78,2,0.002146952,0.001914681,0.560655162,0.448608398,0.5
2023-02-20 14:30:00+00:00,78,2,0.002146952,0.001914681,0.560655162,0.448608398,0.5
2023-02-21 14:30:00+00:00,78,3,-0.005549194,0.004125444,-0.448371449,-1.14881897,0.333333333
2023-02-22 14:30:00+00:00,78,2,-0.008960565,0.004962121,-0.902896692,-1.869094849,0.5
2023-02-23 14:30:00+00:00,78,4,0.007207791,0.002982277,0.604218773,1.686813354,0.5
2023-02-24 14:30:00+00:00,78,3,-0.001927829,0.003436745,-0.186982121,-0.445007324,0.666666667
2023-02-25 14:30:00+00:00,78,3,-0.001927829,0.003436745,-0.186982121,-0.445007324,0.666666667
2023-02-26 14:30:00+00:00,78,3,-0.001927829,0.003436745,-0.186982121,-0.445007324,0.666666667
2023-02-27 14:30:00+00:00,78,2,-0.008339868,0.005483854,-0.760402085,-1.970001221,0.5
2023-02-28 14:30:00+00:00,78,2,-0.020814069,0.013850003,-0.751410284,-4.88899231,0.5
2023-03-01 14:30:00+00:00,78,3,0.00412275,0.001630378,0.842902504,0.937088013,0.666666667
2023-03-02 14:30:00+00:00,78,3,0.013068343,0.001914254,2.275620397,3.004989624,1
2023-03-03 14:30:00+00:00,78,7,0.011799896,0.001662803,1.013769566,2.776290894,0.857142857
2023-03-04 14:30:00+00:00,78,7,0.011799896,0.001662803,1.013769566,2.776290894,0.857142857
2023-03-05 14:30:00+00:00,78,7,0.011799896,0.001662803,1.013769566,2.776290894,0.857142857
2023-03-06 14:30:00+00:00,78,3,-0.011193087,0.0046074,-0.809790529,-2.664901733,0.333333333
2023-03-07 14:30:00+00:00,78,3,-0.024333472,0.014154918,-0.573027527,-5.751907349,0.666666667
2023-03-08 14:30:00+00:00,78,4,0.011316684,0.003679656,0.768868464,2.715896606,0.75
2023-03-09 14:30:00+00:00,78,4,-0.002980751,0.007498596,-0.099376959,-0.701599121,0.75
2023-03-10 14:30:00+00:00,78,2,-0.011112107,0.007822559,-0.710260292,-2.583099365,0.5
2023-03-11 14:30:00+00:00,78,2,-0.011112107,0.007822559,-0.710260292,-2.583099365,0.5
2023-03-12 14:30:00+00:00,78,2,-0.011112107,0.007822559,-0.710260292,-2.583099365,0.5
2023-03-13 14:30:00+00:00,78,4,-0.008632451,0.003009267,-0.717155577,-1.989517212,0.5
2023-03-14 14:30:00+00:00,78,2,-0.007505685,0.008482884,-0.442401721,-1.821411133,0.5
2023-03-15 14:30:00+00:00,78,3,0.017829845,0.004247232,1.399330697,4.26991272,1
2023-03-16 14:30:00+00:00,78,4,0.009647201,0.001437696,1.677544943,2.424880981,1
2023-03-17 14:30:00+00:00,78,3,0.001626939,0.004532298,0.119655188,0.42489624,0.666666667
,,,,,,,
Summary (Average),78,3.240740741,-0.001191295,0.00473569,0.220611132,-0.268335978,0.567680776
