,Num.Obs.,Num.Trade,Tot.Ret,Std.Ret,Sharpe.Ratio,Tot.PnL,Win.Ratio
2023-01-23 14:30:00+00:00,78,1,0.005251424,0,NA,0.529998779,1
2023-01-24 14:30:00+00:00,78,2,-0.008728393,0.000151889,-28.73283953,-0.867607117,0
2023-01-25 14:30:00+00:00,78,5,0.000476134,0.002692974,0.035361171,0.043609619,0.4
2023-01-26 14:30:00+00:00,78,4,0.015313318,0.001807094,2.118500989,1.505004883,1
2023-01-27 14:30:00+00:00,78,4,0.001256795,0.00198751,0.158086604,0.124992371,0.25
2023-01-28 14:30:00+00:00,78,4,0.001256795,0.00198751,0.158086604,0.124992371,0.25
2023-01-29 14:30:00+00:00,78,4,0.001256795,0.00198751,0.158086604,0.124992371,0.25
2023-01-30 14:30:00+00:00,78,4,-0.004993978,0.000835347,-1.494581754,-0.491294861,0
2023-01-31 14:30:00+00:00,78,3,0.000447016,0.001886612,0.078980429,0.044998169,0.333333333
2023-02-01 14:30:00+00:00,78,5,0.013584085,0.003896103,0.697316516,1.364997864,0.6
2023-02-02 14:30:00+00:00,78,2,0.009436942,0.001551145,3.041927979,1.020599365,1
2023-02-03 14:30:00+00:00,78,3,-0.008704254,0.003748293,-0.774063813,-0.915008545,0.333333333
2023-02-04 14:30:00+00:00,78,3,-0.008704254,0.003748293,-0.774063813,-0.915008545,0.333333333
2023-02-05 14:30:00+00:00,78,3,-0.008704254,0.003748293,-0.774063813,-0.915008545,0.333333333
2023-02-06 14:30:00+00:00,78,5,-0.004977845,0.002314485,-0.430147219,-0.514709473,0.2
2023-02-07 14:30:00+00:00,78,4,0.000677231,0.008566186,0.019764674,0.08000946,0.75
2023-02-08 14:30:00+00:00,78,3,0.002820624,0.003254101,0.288930211,0.278892517,0.666666667
2023-02-09 14:30:00+00:00,78,2,0.007146271,0.005792883,0.61681477,0.680000305,0.5
2023-02-10 14:30:00+00:00,78,3,-0.00338834,0.000967184,-1.167767817,-0.321502686,0
2023-02-11 14:30:00+00:00,78,3,-0.00338834,0.000967184,-1.167767817,-0.321502686,0
2023-02-12 14:30:00+00:00,78,3,-0.00338834,0.000967184,-1.167767817,-0.321502686,0
2023-02-13 14:30:00+00:00,78,3,-0.002055995,0.002413385,-0.283971149,-0.194999695,0.333333333
2023-02-14 14:30:00+00:00,78,3,0.017410376,0.003076713,1.886252644,1.635993958,1
2023-02-15 14:30:00+00:00,78,2,-0.003233754,0.0061558,-0.262659134,-0.310798645,0.5
2023-02-16 14:30:00+00:00,78,1,-0.00020596,0,NA,-0.019996643,0
2023-02-17 14:30:00+00:00,78,5,0.001473006,0.001282176,0.229766602,0.140098572,0.6
2023-02-18 14:30:00+00:00,78,5,0.001473006,0.001282176,0.229766602,0.140098572,0.6
2023-02-19 14:30:00+00:00,78,5,0.001473006,0.001282176,0.229766602,0.140098572,0.6
2023-02-20 14:30:00+00:00,78,5,0.001473006,0.001282176,0.229766602,0.140098572,0.6
2023-02-21 14:30:00+00:00,78,3,-0.007342604,0.001395085,-1.754397622,-0.678009033,0
2023-02-22 14:30:00+00:00,78,4,-0.002935199,0.000305088,-2.405209247,-0.26991272,0
2023-02-23 14:30:00+00:00,78,1,0.007555171,0,NA,0.685005188,1
2023-02-24 14:30:00+00:00,78,3,-0.001574175,0.001600513,-0.327848088,-0.140090942,0.333333333
2023-02-25 14:30:00+00:00,78,3,-0.001574175,0.001600513,-0.327848088,-0.140090942,0.333333333
2023-02-26 14:30:00+00:00,78,3,-0.001574175,0.001600513,-0.327848088,-0.140090942,0.333333333
2023-02-27 14:30:00+00:00,78,3,-0.00013403,0.000763836,-0.058489933,-0.012298584,0.666666667
2023-02-28 14:30:00+00:00,78,1,0.00642982,0,NA,0.584999084,1
2023-03-01 14:30:00+00:00,78,3,0.002940616,0.002224976,0.440546537,0.266700745,0.666666667
2023-03-02 14:30:00+00:00,78,2,0.015706611,0.004768257,1.646997058,1.436393738,1
2023-03-03 14:30:00+00:00,78,4,0.001048691,0.001086748,0.241245293,0.098899841,0.5
2023-03-04 14:30:00+00:00,78,4,0.001048691,0.001086748,0.241245293,0.098899841,0.5
2023-03-05 14:30:00+00:00,78,4,0.001048691,0.001086748,0.241245293,0.098899841,0.5
2023-03-06 14:30:00+00:00,78,3,-0.004124987,0.000452147,-3.041038545,-0.395004272,0
2023-03-07 14:30:00+00:00,78,4,-0.008969503,0.002886573,-0.776829688,-0.849998474,0.25
2023-03-08 14:30:00+00:00,78,2,-0.003846598,0.000603794,-3.185357205,-0.364997864,0
2023-03-09 14:30:00+00:00,78,3,-0.014755148,0.002113585,-2.327033203,-1.384902954,0
2023-03-10 14:30:00+00:00,78,3,-0.004011478,0.002846456,-0.469762874,-0.375312805,0.333333333
2023-03-11 14:30:00+00:00,78,3,-0.004011478,0.002846456,-0.469762874,-0.375312805,0.333333333
2023-03-12 14:30:00+00:00,78,3,-0.004011478,0.002846456,-0.469762874,-0.375312805,0.333333333
2023-03-13 14:30:00+00:00,78,4,0.005208296,0.004144152,0.31419554,0.482299805,0.75
2023-03-14 14:30:00+00:00,78,5,-0.00360047,0.004039836,-0.178248323,-0.334999084,0.2
2023-03-15 14:30:00+00:00,78,5,-0.000477699,0.001469021,-0.065036328,-0.046005249,0.4
2023-03-16 14:30:00+00:00,78,1,-0.005270595,0,NA,-0.535003662,0
2023-03-17 14:30:00+00:00,78,2,0.006601221,7.09E-05,46.53178087,0.67489624,1
,,,,,,,
Summary (Average),78,3.240740741,2.08544E-05,0.002064274,0.135107445,0.00037384,0.42345679
