,Num.Obs.,Num.Trade,Tot.Ret,Std.Ret,Sharpe.Ratio,Tot.PnL,Win.Ratio
2023-01-23 14:30:00+00:00,78,5,0.004774318,0.003633874,0.262767412,0.479888916,0.2
2023-01-24 14:30:00+00:00,78,4,-0.004207361,0.001311889,-0.801775576,-0.419296265,0.25
2023-01-25 14:30:00+00:00,78,6,0.007544886,0.003033035,0.41459489,0.721710205,0.666666667
2023-01-26 14:30:00+00:00,78,6,0.021882937,0.003039282,1.200005789,2.144798279,0.833333333
2023-01-27 14:30:00+00:00,78,6,0.001504825,0.003473719,0.072200474,0.147102356,0.5
2023-01-28 14:30:00+00:00,78,6,0.001504825,0.003473719,0.072200474,0.147102356,0.5
2023-01-29 14:30:00+00:00,78,6,0.001504825,0.003473719,0.072200474,0.147102356,0.5
2023-01-30 14:30:00+00:00,78,6,-0.006144601,0.001750519,-0.585026637,-0.60369873,0.166666667
2023-01-31 14:30:00+00:00,78,4,0.004514533,0.001268256,0.889909887,0.44909668,0.75
2023-02-01 14:30:00+00:00,78,8,0.006046392,0.003979093,0.189942532,0.599899292,0.375
2023-02-02 14:30:00+00:00,78,3,0.006394454,0.002662299,0.800618091,0.690093994,0.666666667
2023-02-03 14:30:00+00:00,78,5,-0.022300193,0.003474758,-1.283553845,-2.355003357,0.2
2023-02-04 14:30:00+00:00,78,5,-0.022300193,0.003474758,-1.283553845,-2.355003357,0.2
2023-02-05 14:30:00+00:00,78,5,-0.022300193,0.003474758,-1.283553845,-2.355003357,0.2
2023-02-06 14:30:00+00:00,78,5,-0.00052001,0.002355215,-0.04415817,-0.055015564,0.4
2023-02-07 14:30:00+00:00,78,4,0.021552516,0.008246425,0.653389655,2.290000916,0.75
2023-02-08 14:30:00+00:00,78,6,0.004996275,0.004456932,0.186835341,0.499198914,0.5
2023-02-09 14:30:00+00:00,78,8,-0.008511332,0.007175083,-0.148279334,-0.810791016,0.375
2023-02-10 14:30:00+00:00,78,4,-0.002761009,0.003998608,-0.172623128,-0.260902405,0.5
2023-02-11 14:30:00+00:00,78,4,-0.002761009,0.003998608,-0.172623128,-0.260902405,0.5
2023-02-12 14:30:00+00:00,78,4,-0.002761009,0.003998608,-0.172623128,-0.260902405,0.5
2023-02-13 14:30:00+00:00,78,5,0.003705832,0.002136502,0.346906481,0.350097656,0.6
2023-02-14 14:30:00+00:00,78,5,0.008097667,0.003750209,0.431851523,0.765594482,0.8
2023-02-15 14:30:00+00:00,78,4,0.011595734,0.00399531,0.725584073,1.116500854,0.5
2023-02-16 14:30:00+00:00,78,6,-0.004707636,0.00137486,-0.570680548,-0.454994202,0.166666667
2023-02-17 14:30:00+00:00,78,8,-0.000881974,0.002032908,-0.054231058,-0.08089447,0.5
2023-02-18 14:30:00+00:00,78,8,-0.000881974,0.002032908,-0.054231058,-0.08089447,0.5
2023-02-19 14:30:00+00:00,78,8,-0.000881974,0.002032908,-0.054231058,-0.08089447,0.5
2023-02-20 14:30:00+00:00,78,8,-0.000881974,0.002032908,-0.054231058,-0.08089447,0.5
2023-02-21 14:30:00+00:00,78,6,-0.004027567,0.001060495,-0.632969923,-0.371795654,0.333333333
2023-02-22 14:30:00+00:00,78,7,-0.00059507,0.00131976,-0.064413237,-0.054008484,0.428571429
2023-02-23 14:30:00+00:00,78,4,0.003867121,0.004580069,0.211084256,0.352500916,0.5
2023-02-24 14:30:00+00:00,78,6,0.003539267,0.001336941,0.441214472,0.315711975,0.666666667
2023-02-25 14:30:00+00:00,78,6,0.003539267,0.001336941,0.441214472,0.315711975,0.666666667
2023-02-26 14:30:00+00:00,78,6,0.003539267,0.001336941,0.441214472,0.315711975,0.666666667
2023-02-27 14:30:00+00:00,78,6,-0.000556241,0.000774021,-0.119773041,-0.050292969,0.333333333
2023-02-28 14:30:00+00:00,78,6,0.00116193,0.002893372,0.066930536,0.107597351,0.5
2023-03-01 14:30:00+00:00,78,7,-0.00789042,0.003656848,-0.308244407,-0.715003967,0.428571429
2023-03-02 14:30:00+00:00,78,5,0.016189958,0.004848294,0.667862058,1.481491089,0.8
2023-03-03 14:30:00+00:00,78,5,0.000634414,0.001614225,0.078602874,0.059997559,0.4
2023-03-04 14:30:00+00:00,78,5,0.000634414,0.001614225,0.078602874,0.059997559,0.4
2023-03-05 14:30:00+00:00,78,5,0.000634414,0.001614225,0.078602874,0.059997559,0.4
2023-03-06 14:30:00+00:00,78,7,-0.001212316,0.000834715,-0.207481509,-0.116195679,0.428571429
2023-03-07 14:30:00+00:00,78,5,-0.01447663,0.002748784,-1.053311618,-1.369995117,0.2
2023-03-08 14:30:00+00:00,78,5,-0.010203911,0.001344839,-1.517491747,-0.975006104,0.2
2023-03-09 14:30:00+00:00,78,8,-0.016966266,0.001924091,-1.102226168,-1.601600647,0.25
2023-03-10 14:30:00+00:00,78,4,-0.008556382,0.003401303,-0.628904779,-0.790000916,0.25
2023-03-11 14:30:00+00:00,78,4,-0.008556382,0.003401303,-0.628904779,-0.790000916,0.25
2023-03-12 14:30:00+00:00,78,4,-0.008556382,0.003401303,-0.628904779,-0.790000916,0.25
2023-03-13 14:30:00+00:00,78,7,-0.001998774,0.002598939,-0.109867578,-0.182693481,0.571428571
2023-03-14 14:30:00+00:00,78,7,-0.007909648,0.003727467,-0.303141467,-0.738510132,0.285714286
2023-03-15 14:30:00+00:00,78,7,0.004211036,0.004351868,0.138234096,0.379890442,0.428571429
2023-03-16 14:30:00+00:00,78,8,0.006667763,0.001952264,0.426924986,0.668205261,0.375
2023-03-17 14:30:00+00:00,78,6,0.002341054,0.003241178,0.12038081,0.240104675,0.5
,,,,,,,
Summary (Average),78,5.703703704,-0.00077275,0.002889927,-0.083909899,-0.076946117,0.446538801
