,Num.Obs.,Num.Trade,Tot.Ret,Std.Ret,Sharpe.Ratio,Tot.PnL,Win.Ratio
2023-01-23 14:30:00+00:00,78,4,0.001803022,0.002701044,0.166881979,0.264297485,0.5
2023-01-24 14:30:00+00:00,78,3,-0.006862325,0.001393632,-1.641352477,-0.985397339,0
2023-01-25 14:30:00+00:00,78,4,-0.006207106,0.002550013,-0.60853672,-0.905792236,0.5
2023-01-26 14:30:00+00:00,78,5,0.010812724,0.005704015,0.379126743,1.723205566,0.6
2023-01-27 14:30:00+00:00,78,4,-0.001431606,0.003567426,-0.100324871,-0.261505127,0.5
2023-01-28 14:30:00+00:00,78,4,-0.001431606,0.003567426,-0.100324871,-0.261505127,0.5
2023-01-29 14:30:00+00:00,78,4,-0.001431606,0.003567426,-0.100324871,-0.261505127,0.5
2023-01-30 14:30:00+00:00,78,7,-0.020302673,0.004989299,-0.58132052,-3.434539795,0.142857143
2023-01-31 14:30:00+00:00,78,3,-0.002152598,0.001875977,-0.382484799,-0.369674683,0.333333333
2023-02-01 14:30:00+00:00,78,6,0.011823226,0.013655926,0.144299092,2.175094604,0.5
2023-02-02 14:30:00+00:00,78,3,-0.001624596,0.003528488,-0.153474256,-0.342788696,0.333333333
2023-02-03 14:30:00+00:00,78,6,-0.015089156,0.004648657,-0.540986254,-2.8853302,0.166666667
2023-02-04 14:30:00+00:00,78,6,-0.015089156,0.004648657,-0.540986254,-2.8853302,0.166666667
2023-02-05 14:30:00+00:00,78,6,-0.015089156,0.004648657,-0.540986254,-2.8853302,0.166666667
2023-02-06 14:30:00+00:00,78,5,0.00413449,0.002289457,0.361176497,0.804016113,0.6
2023-02-07 14:30:00+00:00,78,3,0.002769606,0.009340318,0.098840521,0.542984009,0.666666667
2023-02-08 14:30:00+00:00,78,5,0.004779023,0.003740606,0.255521302,0.958312988,0.6
2023-02-09 14:30:00+00:00,78,6,-0.010822917,0.007292571,-0.247350279,-2.285400391,0.5
2023-02-10 14:30:00+00:00,78,3,0.001883229,0.005340761,0.117538106,0.362106323,0.666666667
2023-02-11 14:30:00+00:00,78,3,0.001883229,0.005340761,0.117538106,0.362106323,0.666666667
2023-02-12 14:30:00+00:00,78,3,0.001883229,0.005340761,0.117538106,0.362106323,0.666666667
2023-02-13 14:30:00+00:00,78,5,-0.006480925,0.00090866,-1.42648023,-1.260498047,0
2023-02-14 14:30:00+00:00,78,3,0.02958132,0.003474854,2.837656029,6.042297363,1
2023-02-15 14:30:00+00:00,78,5,0.002488279,0.006748773,0.073740198,0.526992798,0.6
2023-02-16 14:30:00+00:00,78,2,-0.01416052,0.00670205,-1.056431894,-3.031997681,0
