,Num.Obs.,Num.Trade,Tot.Ret,Std.Ret,Sharpe.Ratio,Tot.PnL,Win.Ratio
2023-01-23 14:30:00+00:00,78,2,-0.00499857,0.005489448,-0.455288938,-0.502593994,0.5
2023-01-24 14:30:00+00:00,78,4,-0.004563698,0.002020142,-0.564774433,-0.45740509,0.25
2023-01-25 14:30:00+00:00,78,6,0.009922517,0.000485036,3.409548108,0.955589294,1
2023-01-26 14:30:00+00:00,78,3,0.003249137,0.000785946,1.378016425,0.320007324,1
2023-01-27 14:30:00+00:00,78,5,0.003123767,0.002053235,0.304277579,0.316207886,0.8
2023-01-28 14:30:00+00:00,78,5,0.003123767,0.002053235,0.304277579,0.316207886,0.8
2023-01-29 14:30:00+00:00,78,5,0.003123767,0.002053235,0.304277579,0.316207886,0.8
2023-01-30 14:30:00+00:00,78,4,0.001936125,0.002156771,0.224424026,0.190490723,0.5
2023-01-31 14:30:00+00:00,78,6,0.008920866,0.000621604,2.391893895,0.885902405,1
2023-02-01 14:30:00+00:00,78,7,0.014789903,0.002560738,0.82509137,1.487602234,0.714285714
2023-02-02 14:30:00+00:00,78,4,0.004185395,0.004579371,0.228491799,0.45500946,0.75
2023-02-03 14:30:00+00:00,78,3,-0.009940386,0.008004893,-0.413929549,-1.064994812,0.666666667
2023-02-04 14:30:00+00:00,78,3,-0.009940386,0.008004893,-0.413929549,-1.064994812,0.666666667
2023-02-05 14:30:00+00:00,78,3,-0.009940386,0.008004893,-0.413929549,-1.064994812,0.666666667
2023-02-06 14:30:00+00:00,78,5,0.006289816,0.003270132,0.384682703,0.650016785,0.4
2023-02-07 14:30:00+00:00,78,3,0.01089647,0.007066512,0.513995684,1.170005798,0.666666667
2023-02-08 14:30:00+00:00,78,3,0.006685648,0.00097586,2.283677627,0.666099548,1
2023-02-09 14:30:00+00:00,78,3,-3.51E-05,0.000917842,-0.012729562,-0.004005432,0.333333333
2023-02-10 14:30:00+00:00,78,5,-0.000449171,0.001739337,-0.051648544,-0.043502808,0.4
