,Num.Obs.,Num.Trade,Tot.Ret,Std.Ret,Sharpe.Ratio,Tot.PnL,Win.Ratio
2023-01-23 14:30:00+00:00,78,1,-0.003965838,0,NA,-0.399993896,0
2023-01-24 14:30:00+00:00,78,3,-0.004293959,0.003551283,-0.403042922,-0.432395935,0.333333333
2023-01-25 14:30:00+00:00,78,5,0.01064953,0.00214338,0.993713708,1.026390076,0.8
2023-01-26 14:30:00+00:00,78,3,0.00212799,0.000859162,0.825606868,0.209999084,1
2023-01-27 14:30:00+00:00,78,4,0.002224568,0.002358321,0.235821216,0.225006104,0.75
2023-01-28 14:30:00+00:00,78,4,0.002224568,0.002358321,0.235821216,0.225006104,0.75
2023-01-29 14:30:00+00:00,78,4,0.002224568,0.002358321,0.235821216,0.225006104,0.75
2023-01-30 14:30:00+00:00,78,3,0.000716133,0.00251966,0.094739399,0.071296692,0.666666667
2023-01-31 14:30:00+00:00,78,4,0.010827542,0.001504085,1.799689355,1.075004578,1
2023-02-01 14:30:00+00:00,78,4,0.008199846,0.002416122,0.848451026,0.820007324,0.75
2023-02-02 14:30:00+00:00,78,2,0.000678395,0.003500999,0.096885995,0.074401855,0.5
2023-02-03 14:30:00+00:00,78,3,-0.014594154,0.010188324,-0.477479724,-1.564994812,0.666666667
2023-02-04 14:30:00+00:00,78,3,-0.014594154,0.010188324,-0.477479724,-1.564994812,0.666666667
2023-02-05 14:30:00+00:00,78,3,-0.014594154,0.010188324,-0.477479724,-1.564994812,0.666666667
2023-02-06 14:30:00+00:00,78,5,0.004494841,0.003731702,0.240900332,0.464706421,0.4
2023-02-07 14:30:00+00:00,78,3,0.022077627,0.003238629,2.272322418,2.349990845,1
2023-02-08 14:30:00+00:00,78,2,0.009148287,4.15E-05,110.0907125,0.911102295,1
2023-02-09 14:30:00+00:00,78,1,0.000846222,0,NA,0.080001831,1
2023-02-10 14:30:00+00:00,78,3,-0.001134892,0.003724332,-0.10157451,-0.10849762,0.333333333
2023-02-11 14:30:00+00:00,78,3,-0.001134892,0.003724332,-0.10157451,-0.10849762,0.333333333
2023-02-12 14:30:00+00:00,78,3,-0.001134892,0.003724332,-0.10157451,-0.10849762,0.333333333
2023-02-13 14:30:00+00:00,78,3,0.00648683,0.002439,0.886542403,0.614997864,1
2023-02-14 14:30:00+00:00,78,3,0.00592955,0.001245596,1.586804209,0.554008484,1
2023-02-15 14:30:00+00:00,78,2,0.004462174,0.002951883,0.755818186,0.429992676,0.5
2023-02-16 14:30:00+00:00,78,2,-0.013796224,0.007001126,-0.985286093,-1.330001831,0.5
2023-02-17 14:30:00+00:00,78,6,0.00467648,0.000962893,0.809449823,0.439796448,0.666666667
2023-02-18 14:30:00+00:00,78,6,0.00467648,0.000962893,0.809449823,0.439796448,0.666666667
2023-02-19 14:30:00+00:00,78,6,0.00467648,0.000962893,0.809449823,0.439796448,0.666666667
2023-02-20 14:30:00+00:00,78,6,0.00467648,0.000962893,0.809449823,0.439796448,0.666666667
2023-02-21 14:30:00+00:00,78,3,0.000954575,0.000814178,0.390813362,0.088012695,0.666666667
2023-02-22 14:30:00+00:00,78,5,0.000645016,0.001655607,0.077918992,0.059410095,0.4
2023-02-23 14:30:00+00:00,78,1,0.000659024,0,NA,0.059997559,1
2023-02-24 14:30:00+00:00,78,3,0.003477744,0.001195579,0.969612466,0.310089111,0.666666667
2023-02-25 14:30:00+00:00,78,3,0.003477744,0.001195579,0.969612466,0.310089111,0.666666667
2023-02-26 14:30:00+00:00,78,3,0.003477744,0.001195579,0.969612466,0.310089111,0.666666667
