,Num.Obs.,Num.Trade,Tot.Ret,Std.Ret,Sharpe.Ratio,Tot.PnL,Win.Ratio
2023-01-23 14:30:00+00:00,78,3,0.005369087,0.001618046,1.106084243,1.028808594,0.666666667
2023-01-24 14:30:00+00:00,78,2,0.004917966,0.000232524,10.57518201,0.940002441,1
2023-01-25 14:30:00+00:00,78,4,0.00951588,0.007163239,0.332108152,1.815612793,0.25
2023-01-26 14:30:00+00:00,78,3,0.011657712,0.003088339,1.258250309,2.281509399,0.666666667
2023-01-27 14:30:00+00:00,78,5,0.000584377,0.002481703,0.047094861,0.128112793,0.6
2023-01-28 14:30:00+00:00,78,5,0.000584377,0.002481703,0.047094861,0.128112793,0.6
2023-01-29 14:30:00+00:00,78,5,0.000584377,0.002481703,0.047094861,0.128112793,0.6
2023-01-30 14:30:00+00:00,78,4,-0.016610829,0.001254724,-3.30965773,-3.218826294,0
2023-01-31 14:30:00+00:00,78,7,0.003108084,0.002386413,0.186058318,0.60369873,0.428571429
2023-02-01 14:30:00+00:00,78,4,0.010259039,0.013158128,0.194918289,2.1900177,0.5
2023-02-02 14:30:00+00:00,78,4,0.015959702,0.010568247,0.377539002,3.404510498,0.5
2023-02-03 14:30:00+00:00,78,6,-0.014390322,0.00310189,-0.773201962,-3.049484253,0.166666667
2023-02-04 14:30:00+00:00,78,6,-0.014390322,0.00310189,-0.773201962,-3.049484253,0.166666667
2023-02-05 14:30:00+00:00,78,6,-0.014390322,0.00310189,-0.773201962,-3.049484253,0.166666667
2023-02-06 14:30:00+00:00,78,3,-0.012696637,0.004297834,-0.984731443,-2.687301636,0.333333333
2023-02-07 14:30:00+00:00,78,4,-0.002488225,0.006045145,-0.102901798,-0.537490845,0.5
2023-02-08 14:30:00+00:00,78,4,0.007006342,0.003269819,0.535682716,1.556900024,0.5
2023-02-09 14:30:00+00:00,78,6,-0.012219972,0.003619266,-0.562727926,-2.762115479,0.333333333
2023-02-10 14:30:00+00:00,78,2,0.015622993,0.000541353,14.42959155,3.295211792,1
2023-02-11 14:30:00+00:00,78,2,0.015622993,0.000541353,14.42959155,3.295211792,1
2023-02-12 14:30:00+00:00,78,2,0.015622993,0.000541353,14.42959155,3.295211792,1
2023-02-13 14:30:00+00:00,78,2,-0.005670683,0.001213818,-2.335886133,-1.241882324,0
2023-02-14 14:30:00+00:00,78,4,0.005120603,0.00368726,0.347182091,1.146621704,0.5
2023-02-15 14:30:00+00:00,78,6,-6.77E-05,0.002969851,-0.003799311,-0.009185791,0.333333333
2023-02-16 14:30:00+00:00,78,5,-0.01075264,0.001350165,-1.592788432,-2.396682739,0
2023-02-17 14:30:00+00:00,78,2,0.01562915,0.007921145,0.986546143,3.318908691,0.5
2023-02-18 14:30:00+00:00,78,2,0.01562915,0.007921145,0.986546143,3.318908691,0.5
2023-02-19 14:30:00+00:00,78,2,0.01562915,0.007921145,0.986546143,3.318908691,0.5
2023-02-20 14:30:00+00:00,78,2,0.01562915,0.007921145,0.986546143,3.318908691,0.5
2023-02-21 14:30:00+00:00,78,5,-0.0183046,0.001751493,-2.090171062,-3.810501099,0
2023-02-22 14:30:00+00:00,78,5,-0.000906735,0.005518634,-0.032860847,-0.1769104,0.6
2023-02-23 14:30:00+00:00,78,5,0.020029566,0.006284898,0.637387195,4.702880859,0.6
2023-02-24 14:30:00+00:00,78,4,3.27E-05,0.002277862,0.003590039,0.004699707,0.5
2023-02-25 14:30:00+00:00,78,4,3.27E-05,0.002277862,0.003590039,0.004699707,0.5
2023-02-26 14:30:00+00:00,78,4,3.27E-05,0.002277862,0.003590039,0.004699707,0.5
2023-02-27 14:30:00+00:00,78,3,-0.000432722,0.00404554,-0.035654252,-0.099197388,0.333333333
2023-02-28 14:30:00+00:00,78,2,0.011461593,0.003393986,1.688514955,2.709609985,1
2023-03-01 14:30:00+00:00,78,4,-0.006809175,0.001191234,-1.429016898,-1.548278809,0.25
2023-03-02 14:30:00+00:00,78,3,0.017648015,0.007185233,0.81871694,4.053695679,0.666666667
2023-03-03 14:30:00+00:00,78,6,0.017249312,0.004794188,0.599660479,4.050613403,0.833333333
2023-03-04 14:30:00+00:00,78,6,0.017249312,0.004794188,0.599660479,4.050613403,0.833333333
2023-03-05 14:30:00+00:00,78,6,0.017249312,0.004794188,0.599660479,4.050613403,0.833333333
2023-03-06 14:30:00+00:00,78,5,-0.004886499,0.002746032,-0.355895314,-1.164916992,0.2
2023-03-07 14:30:00+00:00,78,6,-0.017561549,0.002218656,-1.319233174,-4.154800415,0
2023-03-08 14:30:00+00:00,78,5,0.005295809,0.002842879,0.372566593,1.279281616,0.6
2023-03-09 14:30:00+00:00,78,5,-0.018701099,0.003223231,-1.160394662,-4.481491089,0.2
2023-03-10 14:30:00+00:00,78,3,-0.007221125,0.00296271,-0.812445945,-1.67149353,0.333333333
2023-03-11 14:30:00+00:00,78,3,-0.007221125,0.00296271,-0.812445945,-1.67149353,0.333333333
2023-03-12 14:30:00+00:00,78,3,-0.007221125,0.00296271,-0.812445945,-1.67149353,0.333333333
2023-03-13 14:30:00+00:00,78,5,0.009307559,0.004559465,0.408274201,2.135314941,0.8
